Chantier,Axe taxonomie
Réduire la dépendance à la voiture,Atténuation
Verdir les voitures particulières,Atténuation
Verdir le secteur aérien,Atténuation
Réduire le trafic de poids lourds pour les marchandises,Atténuation
Verdir les utilitaires et poids lourds,Atténuation
Verdir le secteur maritime et fluvial,Atténuation
Accélérer la rénovation énergétique de l'habitat particulier et collectif,Atténuation
Rénover le parc tertiaire et verdir son exploitation,Atténuation
Généraliser les pratiques durables de construction et rénovation,Atténuation
Accroitre notre production d'électricité décarbonée,Atténuation
Développer les réseaux de chaleur et de froid renouvelables,Atténuation
Mobiliser la biomasse pour décarboner les besoins énergétiques non électrifiables,Atténuation
Réduire l'usage d'énergie fossile de l'industrie,Atténuation
Décarboner les procédés industriels les plus émissifs,Atténuation
Réduire les fuites de gaz à effet de serre et polluants,Atténuation
Réduire la consommation de matière de l'industrie,Atténuation
Décarboner les bâtiments et machines agricoles,Atténuation
Réduire la dépendance aux intrants des cultures,Atténuation
Développer des pratiques d'élevage durable,Atténuation
Développer les services environnementaux rendus par le secteur agricole,Atténuation
Redonner à la forêt sa capacité de stockage de carbone,Atténuation
Développer la consommation responsable,Economie circulaire
Réduire l'impact environnemental des déchets produits,Economie circulaire
Sécuriser la continuité des services essentiels,Adaptation
Anticiper les impacts socio-économiques chroniques du changement climatique,Adaptation
Généraliser la prévention des risques naturels dus au changement climatique,Adaptation
Adapter l'aménagement du territoire aux conséquences structurelles du changement climatique,Adaptation
Développer des filières agricoles résilientes aux mutations climatiques,Adaptation
Développer des filières aquacole et halieutique durables,Adaptation
Développer des pratiques alimentaires saines et durables,Atténuation
Développer et gérer les aires protégées,Biodiversité
Restaurer les écosystèmes dégradés,Biodiversité
Réduire les prélèvements d'eau douce,Eau
Sécuriser l'alimentation en eau potable,Eau
Mieux mobiliser la ressource en eau pour tous les usages,Eau
Lutter contre l'artificialisation nette des sols,"Adaptation, Atténuation, Biodiversité, Eau"
"Réduire les autres pressions sur la biodiversité (pollution lumineuse, EEE)",Biodiversité
