Levier,Levier_court,Chantier associé,Leviers territoriaux,Com sur le levier territorial,Objectif du levier,Commentaires,Sources de l'objectif,Δ GES 2030,Δ GES 2040,Δ GES 2050
Indicateur de chantier,,,false,,,,,,,
Indicateur d'impact,,,false,,,,,,,
Indicateur d'impact - autres,,,false,,,,,,,
Autres indicateurs,,,false,,,,,,,
Réduction des besoins de mobilité terrestre,Sobr. mob. terrestre,Se déplacer / Réduire la dépendance à la voiture,true,,"Stabilisation (ou légère croissance) du nombre de kilomètres parcourus par an par personne tous modes confondus (hors transports internationaux), alors que celui-ci augmente en tendanciel",,3e stratégie nationale bas-carbone (provisoire),,,
Développement des mobilités actives (vélo et marche),Mobilités actives,Se déplacer / Réduire la dépendance à la voiture,true,,"Triplement de l’usage du vélo entre 2019 et 2030 (de 5,5 à 19 Mds voy-km) multiplication par 8 d’ici à 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Développement des transports en commun,Transp. en commun,Se déplacer / Réduire la dépendance à la voiture,true,,"Augmentation de l’usage des transports en commun (bus, car, train) de 25 % entre 2019 et 2030, et de 55% d’ici 2050. ",,3e stratégie nationale bas-carbone (provisoire),,,
Développement du covoiturage,Covoiturage,Se déplacer / Réduire la dépendance à la voiture,true,,"Augmentation du nombre de personnes par voiture de 1,65 en 2019 à 1,72 en 2030 puis à 1,82 en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Electrification des véhicules particuliers,Electrification VP,Se déplacer / Verdir les véhicules individuels,true,,"15% du parc de véhicules particuliers électrique, 100 % en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
"Amélioration de l'efficacité environnementale (énergie, matières premières, polluants) des véhicules individuels neufs",Efficacité VP,Se déplacer / Verdir les véhicules individuels,true,,Baisse de 9 % de la consommation des véhicules particuliers thermiques neuf entre 2023 et 2030,,3e stratégie nationale bas-carbone (provisoire),,,
Réduction de l'utilisation des véhicules particuliers les plus polluants,VP polluants,Se déplacer / Verdir les véhicules individuels,true,un seul levier pour celui-ci + les deux suivants : efficacité des véhicules et carburants décarbonés,,'A préciser courant 2026 dans le cadre des travaux sur le plan PREPA ,,,,
Incorporation de carburants routiers durables,Carburants durables,Se déplacer / Verdir les véhicules individuels,true,,"Passer de 10 % de carburants durables en 2023 à 13 % en 2030, 30 % en 2040 et 100 % en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Maîtrise du trafic aérien,Sobriété aérien,Se déplacer / Verdir le secteur aérien,false,,"D'ici 2030, par rapport à 2019, une baisse de 24 % sur les vols intérieurs à l’hexagone contre une croissance de 16 % vers les outre mers et de 17 % pour le trafic international. 
A horizon 2050, baisse de 38 % par rapport à 2019 sur les liaisons intérieures à l’hexagone dans une logique de report modal vers le train ; croissance de 22% sur les vols vers les DROM et de 20 % sur les vols à l’international. ",,3e stratégie nationale bas-carbone (provisoire),,,
"Amélioration de l'efficacité des aéronefs (énergie, polluants)",Efficacité aéronefs,Se déplacer / Verdir le secteur aérien,false,,Baisse de la consommation unitaire (par passager-km) de 14 % d’ici 2030 et de 33% d’ici à 2050 par rapport à 2019,,3e stratégie nationale bas-carbone (provisoire),,,
Incorporation de carburants durables (aviation),Carburants durables,Se déplacer / Verdir le secteur aérien,false,,"6% de carburants durables en 2030, 20% en 2035, en cohérence avec le règlement européen RefuelEU, 85% à horizon 2050 contre 70% dans Refuel",,3e stratégie nationale bas-carbone (provisoire),,,
Maîtrise de la demande de transport de marchandises,Sobr. fret terrestre,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,"Un seul levier plus large : ""efficacité et sobriété logistique"" qui englobe l'optimisation du chargement des PL, l'efficacité des VUL et des PL neufs","Hausse de la demande totale de transport de marchandises de 3,5% en 2030 par rapport à 2019, moins forte que dans un scénario tendanciel (7,5 %). En 2050, la hausse est de 11,5% par rapport à 2019.",,3e stratégie nationale bas-carbone (provisoire),,,
Développement du fret ferroviaire,Fret ferroviaire,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,Un seul levier pour le fret ferroviaire te fluvial,"Doublement de la part modale du fret ferroviaire entre 2019 et 2030 pour atteindre 18 %, puis 25% à horizon 2050, en accord avec la stratégie nationale pour le fret ferroviaire.
",,3e stratégie nationale bas-carbone (provisoire),,,
Développement du fret fluvial,Fret fluvial,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,,Augmentation de la part modale du fluvial de 2 % actuellement à 3 % en 2030 et 4% en 2050,,3e stratégie nationale bas-carbone (provisoire),,,
Optimisation du chargements des poids lourds,Optim. chargement,Se déplacer / Réduire le trafic de poids lourds pour les marchandises,true,,"Augmentation du chargement moyen de 8,0 tonnes en 2019 à 8,3 d’ici 2030, 8,6 en 2040 et à 8,9 d’ici 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Electrification des véhicules utilitaires légers,Electrification VUL,Se déplacer / Verdir les utilitaires et poids lourds,true,"réintégré sous un unique levier ""fret routier électrique"" avec l'électrification des PL","12% de la flotte de véhicules utilitaires légers électrifiée en 2030, 68 % en 2040, 99 % en 2050",,3e stratégie nationale bas-carbone (provisoire),,,
Electrification des poids lourds,Electrification PL,Se déplacer / Verdir les utilitaires et poids lourds,true,,10 % de la flotte de poids lourds électrifiée en 2030,,3e stratégie nationale bas-carbone (provisoire),,,
Amélioration de l'efficacité des véhicules utilitaires légers et des poids lourds neufs,Efficacité VUL & PL,Se déplacer / Verdir les utilitaires et poids lourds,true,"réintégré sous le levier 'efficacité et sobriété logistique""",Baisse de la consommation de 9 % pour les poids lourds thermiques neufs et de 10 % pour les VUL thermiques neufs entre 2023 et 2030,,3e stratégie nationale bas-carbone (provisoire),,,
